ranking_risco_meta,id_municipio,id_municipio_nome,sigla_uf,alunos,historico_2023,meta_2024,taxa_prevista_2024,gap_previsto,alerta_nao_atingir,taxa_observada_2024,gap_observado,nao_atingiu_observado,probabilidade_media_risco
272,3301108,Cantagalo,RJ,162,55.75,59.77,58.014142975356854,1.7558570246431486,True,53.086419753086425,6.6835802469135785,True,0.4198585702464315
273,4208609,Jaborá,SC,40,73.88,74.82,73.10250325231631,1.7174967476836827,True,77.5,-2.680000000000007,False,0.2689749674768369
274,3305505,Saquarema,RJ,1186,63.539997,66.24,64.53560609895044,1.7043939010495563,True,62.563237774030355,3.6767622259696395,True,0.3546439390104956
275,3544905,Sales Oliveira,SP,95,58.459995,62.030003,60.3670215004287,1.662981499571302,True,49.47368421052631,12.556318789473693,True,0.396329784995713
276,2205201,Jaicós,PI,164,78.99,79.14,77.5906387877108,1.5493612122891989,True,59.14634146341463,19.99365853658537,True,0.224093612122892
277,4116109,Moreira Sales,PR,106,79.33,79.43,77.88522258477943,1.5447774152205795,True,78.30188679245283,1.1281132075471731,True,0.2211477741522056
278,5100250,Alta Floresta,MT,657,53.52,57.91,56.36550214725704,1.544497852742957,True,71.68949771689498,-13.77949771689498,False,0.4363449785274296
279,2615409,Toritama,PE,548,50.21,55.11,53.58185968453948,1.5281403154605187,True,64.23357664233576,-9.123576642335763,False,0.4641814031546052
280,3513306,Cruzália,SP,17,85.19,80.0,78.47660752899299,1.5233924710070141,True,47.05882352941176,32.94117647058824,True,0.21523392471007
281,5106257,Nova Xavantina,MT,245,71.61,72.93,71.41425420809705,1.5157457919029582,True,44.89795918367347,28.032040816326536,True,0.2858574579190295
282,3538105,Pindorama,SP,113,46.53,51.97,50.486675287171444,1.483324712828555,True,62.83185840707964,-10.861858407079644,False,0.4951332471282855
283,3522109,Itanhaém,SP,1291,54.33,58.589996,57.10773064718614,1.4822653528138616,True,48.412083656080554,10.177912343919445,True,0.4289226935281386
284,2209856,São João da Canabrava,PI,27,82.0,80.0,78.55920897008991,1.4407910299100877,True,96.29629629629628,-16.296296296296276,False,0.2144079102991009
285,4215604,Santa Rosa de Lima,SC,37,92.81,80.0,78.61219719517437,1.3878028048256255,True,86.48648648648648,-6.486486486486484,False,0.2138780280482562
286,3140902,Matipó,MG,247,70.323235,80.0,78.6472358994938,1.3527641005062065,True,80.97165991902834,-0.9716599190283404,False,0.213527641005062
287,2612703,Santa Maria do Cambucá,PE,90,83.17,80.0,78.66398736518094,1.3360126348190562,True,72.22222222222221,7.777777777777786,True,0.2133601263481906
288,2603801,Capoeiras,PE,211,50.95,55.74,54.424585980387455,1.3154140196125468,True,69.66824644549763,-13.928246445497628,False,0.4557541401961254
289,5007950,Tacuru,MS,187,51.61,56.3,54.997471714787004,1.3025282852129934,True,56.68449197860963,-0.38449197860963125,False,0.4500252828521299
290,2202604,Castelo do Piauí,PI,167,75.09,75.84,74.58157679719851,1.2584232028014952,True,82.63473053892216,-6.794730538922153,False,0.2541842320280149
291,4113700,Londrina,PR,4774,73.99454,74.82,73.57947339104076,1.2405266089592288,True,73.56514453288648,1.254855467113515,True,0.2642052660895923
292,3546603,Santa Fé do Sul,SP,338,59.210003,62.66,61.43980612297312,1.2201938770268796,True,54.142011834319526,8.517988165680471,True,0.3856019387702687
293,4125902,São Pedro do Paraná,PR,16,71.94,73.2,71.98031071459508,1.2196892854049253,True,75.0,-1.7999999999999972,False,0.2801968928540492
294,3553500,Tapiraí,SP,103,53.69,58.05,56.84819459068387,1.2018054093161297,True,57.28155339805825,0.7684466019417471,True,0.4315180540931613
295,4205704,Garopaba,SC,342,70.59,72.08,70.8804469213678,1.1995530786321922,True,75.43859649122807,-3.35859649122807,False,0.2911955307863219
296,2613404,São José da Coroa Grande,PE,244,41.77,47.83,46.66041619188905,1.16958380811095,True,38.93442622950819,8.895573770491808,True,0.5333958380811095
